id_pedido,data_pedido,cliente,produto,categoria,regiao,quantidade,preco_unitario,receita_bruta,desconto,receita_liquida
36,2025-01-04,Cliente_5,Teclado,Acessórios,Centro-Oeste,3,2784.23,8352.69,0.17,6932.73
37,2025-04-08,Cliente_45,Headset,Acessórios,Centro-Oeste,3,63.31,189.93,0.2,151.94
38,2025-02-15,Cliente_54,Notebook,Periféricos,Sul,3,1077.8,3233.4,0.13,2813.06
39,2025-03-15,Cliente_48,Notebook,Periféricos,Sul,4,4918.97,19675.88,0.21,15543.95
40,2025-04-03,Cliente_81,Cadeira Gamer,Eletrônicos,Sudeste,3,4044.49,12133.47,0.19,9828.11
41,2025-05-03,Cliente_69,Notebook,Periféricos,Centro-Oeste,4,847.29,3389.16,0.3,2372.41
42,2025-04-21,Cliente_100,Teclado,Eletrônicos,Nordeste,4,4139.72,16558.88,0.13,14406.23
43,2025-11-09,Cliente_69,Monitor,Acessórios,Sul,1,2761.43,2761.43,0.01,2733.82
44,2025-04-23,Cliente_81,Teclado,Periféricos,Sudeste,2,4641.54,9283.08,0.02,9097.42
45,2025-06-11,Cliente_56,Mouse,Periféricos,Centro-Oeste,2,3779.95,7559.9,0.15,6425.91
46,2025-01-29,Cliente_59,Notebook,Periféricos,Sul,1,3558.05,3558.05,0.11,3166.66
47,2025-09-17,Cliente_58,Cadeira Gamer,Eletrônicos,Nordeste,4,3915.94,15663.76,0.21,12374.37
48,2025-11-02,Cliente_39,Cadeira Gamer,Periféricos,Centro-Oeste,2,3343.04,6686.08,0.06,6284.92
49,2025-07-14,Cliente_67,Monitor,Eletrônicos,Sul,1,4444.89,4444.89,0.12,3911.5
50,2025-10-09,Cliente_72,Teclado,Periféricos,Norte,4,2219.16,8876.64,0.18,7278.84
51,2025-12-22,Cliente_14,Mouse,Acessórios,Norte,3,4412.67,13238.01,0.24,10060.89
52,2025-05-18,Cliente_29,Headset,Periféricos,Nordeste,1,4641.5,4641.5,0.05,4409.43
53,2025-08-21,Cliente_35,Headset,Acessórios,Sudeste,3,3770.64,11311.92,0.21,8936.42
54,2025-04-03,Cliente_42,Headset,Eletrônicos,Sul,2,4116.45,8232.9,0.28,5927.69
55,2025-04-19,Cliente_65,Teclado,Acessórios,Sudeste,2,454.81,909.62,0.21,718.6
56,2025-01-15,Cliente_26,Notebook,Eletrônicos,Norte,3,2150.32,6450.96,0.13,5612.34
57,2025-03-22,Cliente_73,Notebook,Eletrônicos,Nordeste,1,1046.93,1046.93,0.11,931.77
58,2025-05-08,Cliente_41,Mouse,Eletrônicos,Norte,1,86.76,86.76,0.14,74.61
59,2025-08-07,Cliente_69,Notebook,Acessórios,Norte,2,2931.77,5863.54,0.09,5335.82
60,2025-12-21,Cliente_62,Mouse,Periféricos,Sul,4,3469.15,13876.6,0.01,13737.83
61,2025-02-28,Cliente_100,Monitor,Periféricos,Centro-Oeste,1,209.38,209.38,0.12,184.25
62,2025-06-23,Cliente_63,Notebook,Acessórios,Norte,2,652.68,1305.36,0.03,1266.2
63,2025-10-19,Cliente_65,Teclado,Acessórios,Sul,3,4980.63,14941.89,0.15,12700.61
64,2025-12-10,Cliente_77,Mouse,Periféricos,Sudeste,3,558.04,1674.12,0.15,1423.0
65,2025-01-20,Cliente_90,Headset,Acessórios,Nordeste,2,293.03,586.06,0.06,550.9
66,2025-06-13,Cliente_47,Headset,Eletrônicos,Sudeste,2,2158.05,4316.1,0.2,3452.88
67,2025-03-23,Cliente_41,Monitor,Acessórios,Centro-Oeste,3,3034.6,9103.8,0.25,6827.85
68,2025-06-08,Cliente_44,Teclado,Eletrônicos,Centro-Oeste,4,2701.35,10805.4,0.3,7563.78
69,2025-02-08,Cliente_8,Mouse,Eletrônicos,Centro-Oeste,3,903.1,2709.3,0.28,1950.7
70,2025-04-24,Cliente_34,Monitor,Acessórios,Norte,3,3144.86,9434.58,0.15,8019.39
71,2025-03-04,Cliente_48,Mouse,Periféricos,Centro-Oeste,2,284.33,568.66,0.04,545.91
72,2025-03-23,Cliente_34,Notebook,Acessórios,Sudeste,4,1229.34,4917.36,0.09,4474.8
73,2025-12-23,Cliente_8,Headset,Periféricos,Nordeste,2,263.95,527.9,0.1,475.11
74,2025-08-13,Cliente_50,Monitor,Eletrônicos,Norte,4,2664.62,10658.48,0.0,10658.48
75,2025-05-07,Cliente_74,Teclado,Eletrônicos,Centro-Oeste,3,3933.79,11801.37,0.11,10503.22
76,2025-02-22,Cliente_83,Cadeira Gamer,Acessórios,Sul,3,949.97,2849.91,0.29,2023.44
77,2025-01-15,Cliente_73,Monitor,Acessórios,Centro-Oeste,3,1602.04,4806.12,0.24,3652.65
78,2025-06-10,Cliente_89,Headset,Acessórios,Sul,2,1278.44,2556.88,0.21,2019.94
79,2025-09-17,Cliente_36,Monitor,Periféricos,Norte,4,4491.66,17966.64,0.29,12756.31
80,2025-04-17,Cliente_16,Teclado,Eletrônicos,Sul,4,4334.03,17336.12,0.27,12655.37
81,2025-07-07,Cliente_94,Notebook,Acessórios,Centro-Oeste,3,2535.25,7605.75,0.17,6312.77
82,2025-03-19,Cliente_6,Mouse,Acessórios,Norte,1,1220.49,1220.49,0.1,1098.44
83,2025-11-18,Cliente_42,Monitor,Periféricos,Sul,2,571.96,1143.92,0.19,926.58
84,2025-09-13,Cliente_5,Teclado,Eletrônicos,Norte,1,3735.92,3735.92,0.11,3324.97
85,2025-03-31,Cliente_100,Monitor,Periféricos,Norte,2,4913.03,9826.06,0.16,8253.89
86,2025-07-04,Cliente_2,Teclado,Periféricos,Norte,1,2767.26,2767.26,0.09,2518.21
87,2025-01-29,Cliente_30,Teclado,Periféricos,Centro-Oeste,1,4198.5,4198.5,0.0,4198.5
88,2025-04-06,Cliente_37,Cadeira Gamer,Eletrônicos,Nordeste,4,2411.15,9644.6,0.01,9548.15
89,2025-06-25,Cliente_55,Mouse,Acessórios,Nordeste,3,1363.52,4090.56,0.26,3027.01
90,2025-12-19,Cliente_64,Notebook,Periféricos,Sudeste,1,1797.31,1797.31,0.13,1563.66
91,2025-01-04,Cliente_6,Cadeira Gamer,Eletrônicos,Sul,2,3511.93,7023.86,0.28,5057.18
92,2025-08-07,Cliente_98,Teclado,Periféricos,Sul,2,4990.0,9980.0,0.25,7485.0
93,2025-07-21,Cliente_39,Cadeira Gamer,Periféricos,Sul,3,773.38,2320.14,0.18,1902.51
94,2025-02-19,Cliente_37,Monitor,Acessórios,Sul,1,2720.28,2720.28,0.0,2720.28
95,2025-08-22,Cliente_57,Headset,Eletrônicos,Sudeste,3,4381.87,13145.61,0.11,11699.59
96,2025-03-13,Cliente_36,Headset,Periféricos,Norte,1,3159.99,3159.99,0.17,2622.79
97,2025-10-10,Cliente_82,Mouse,Periféricos,Sudeste,2,1269.66,2539.32,0.13,2209.21
98,2025-07-27,Cliente_15,Monitor,Acessórios,Centro-Oeste,1,221.0,221.0,0.18,181.22
99,2025-07-28,Cliente_98,Notebook,Periféricos,Centro-Oeste,1,4451.53,4451.53,0.15,3783.8
100,2025-06-29,Cliente_46,Cadeira Gamer,Acessórios,Norte,2,1687.0,3374.0,0.28,2429.28
101,2025-01-30,Cliente_25,Mouse,Acessórios,Sul,4,516.89,2067.56,0.12,1819.45
102,2025-02-02,Cliente_32,Mouse,Eletrônicos,Sudeste,2,2725.66,5451.32,0.01,5396.81
103,2025-04-22,Cliente_4,Mouse,Eletrônicos,Centro-Oeste,4,244.06,976.24,0.27,712.66
104,2025-04-24,Cliente_71,Notebook,Acessórios,Nordeste,2,2918.51,5837.02,0.1,5253.32
105,2025-01-24,Cliente_94,Notebook,Eletrônicos,Sul,4,4561.38,18245.52,0.23,14049.05
106,2025-01-20,Cliente_24,Monitor,Periféricos,Nordeste,3,564.76,1694.28,0.27,1236.82
107,2025-11-08,Cliente_86,Teclado,Eletrônicos,Nordeste,1,3191.46,3191.46,0.14,2744.66
108,2025-09-06,Cliente_66,Cadeira Gamer,Acessórios,Sul,4,2121.77,8487.08,0.26,6280.44
109,2025-07-11,Cliente_20,Notebook,Periféricos,Nordeste,3,3702.86,11108.58,0.29,7887.09
110,2025-09-17,Cliente_29,Monitor,Eletrônicos,Centro-Oeste,2,4186.54,8373.08,0.04,8038.16
111,2025-10-18,Cliente_51,Headset,Periféricos,Centro-Oeste,3,3735.45,11206.35,0.03,10870.16
112,2025-10-25,Cliente_10,Headset,Eletrônicos,Centro-Oeste,4,1852.73,7410.92,0.2,5928.74
113,2025-02-15,Cliente_18,Monitor,Eletrônicos,Nordeste,4,3400.68,13602.72,0.15,11562.31
114,2025-07-21,Cliente_17,Monitor,Periféricos,Sudeste,2,2924.0,5848.0,0.1,5263.2
115,2025-01-09,Cliente_71,Notebook,Acessórios,Nordeste,2,3627.37,7254.74,0.27,5295.96
116,2025-10-06,Cliente_67,Headset,Eletrônicos,Centro-Oeste,3,650.84,1952.52,0.22,1522.97
117,2025-08-03,Cliente_28,Teclado,Acessórios,Nordeste,3,2252.68,6758.04,0.25,5068.53
118,2025-04-12,Cliente_66,Monitor,Eletrônicos,Sudeste,2,4351.09,8702.18,0.07,8093.03
119,2025-09-20,Cliente_95,Notebook,Periféricos,Nordeste,3,936.71,2810.13,0.2,2248.1
120,2025-03-26,Cliente_50,Notebook,Periféricos,Sul,4,2185.86,8743.44,0.06,8218.83
121,2025-08-01,Cliente_61,Mouse,Acessórios,Sul,2,2087.71,4175.42,0.2,3340.34
122,2025-10-24,Cliente_12,Mouse,Eletrônicos,Sul,4,629.3,2517.2,0.1,2265.48
123,2025-07-01,Cliente_19,Teclado,Eletrônicos,Sudeste,1,689.05,689.05,0.08,633.93
124,2025-06-03,Cliente_26,Mouse,Acessórios,Centro-Oeste,1,3724.81,3724.81,0.13,3240.58
125,2025-01-07,Cliente_8,Cadeira Gamer,Acessórios,Sudeste,1,4236.47,4236.47,0.05,4024.65
126,2025-06-10,Cliente_90,Mouse,Eletrônicos,Centro-Oeste,1,2444.44,2444.44,0.27,1784.44
127,2025-06-24,Cliente_46,Notebook,Eletrônicos,Sudeste,1,2644.43,2644.43,0.15,2247.77
128,2025-07-03,Cliente_31,Monitor,Eletrônicos,Sul,3,2926.89,8780.67,0.01,8692.86
129,2025-11-22,Cliente_12,Monitor,Acessórios,Sul,3,2355.89,7067.67,0.19,5724.81
130,2025-09-11,Cliente_42,Cadeira Gamer,Eletrônicos,Nordeste,4,875.53,3502.12,0.06,3291.99
131,2025-11-21,Cliente_30,Cadeira Gamer,Acessórios,Nordeste,3,4630.83,13892.49,0.26,10280.44
132,2025-07-18,Cliente_9,Notebook,Eletrônicos,Norte,4,2446.9,9787.6,0.29,6949.2
133,2025-12-04,Cliente_31,Notebook,Eletrônicos,Nordeste,4,3416.78,13667.12,0.29,9703.66
134,2025-07-01,Cliente_78,Mouse,Periféricos,Sudeste,3,491.05,1473.15,0.2,1178.52
135,2025-12-17,Cliente_54,Cadeira Gamer,Periféricos,Nordeste,4,3277.68,13110.72,0.02,12848.51
136,2025-02-08,Cliente_81,Headset,Acessórios,Nordeste,2,722.46,1444.92,0.06,1358.22
137,2025-08-22,Cliente_78,Mouse,Acessórios,Sudeste,1,559.26,559.26,0.25,419.44
138,2025-04-04,Cliente_89,Teclado,Acessórios,Nordeste,4,2146.41,8585.64,0.28,6181.66
139,2025-08-20,Cliente_98,Notebook,Acessórios,Norte,2,538.64,1077.28,0.28,775.64
140,2025-03-06,Cliente_11,Notebook,Periféricos,Nordeste,4,3795.86,15183.44,0.16,12754.09
141,2025-02-16,Cliente_79,Monitor,Periféricos,Sul,4,4942.74,19770.96,0.25,14828.22
142,2025-05-13,Cliente_94,Teclado,Acessórios,Sudeste,2,2467.74,4935.48,0.28,3553.55
143,2025-08-21,Cliente_26,Headset,Periféricos,Norte,3,360.24,1080.72,0.01,1069.91
144,2025-08-30,Cliente_25,Monitor,Periféricos,Sudeste,3,4554.8,13664.4,0.14,11751.38
145,2025-10-28,Cliente_55,Mouse,Periféricos,Nordeste,1,3067.84,3067.84,0.26,2270.2
146,2025-05-04,Cliente_70,Monitor,Acessórios,Norte,3,1272.09,3816.27,0.23,2938.53
147,2025-09-05,Cliente_34,Mouse,Acessórios,Sudeste,1,869.52,869.52,0.3,608.66
148,2025-04-20,Cliente_100,Cadeira Gamer,Eletrônicos,Sul,4,1423.25,5693.0,0.27,4155.89
149,2025-03-05,Cliente_13,Mouse,Acessórios,Sul,1,3246.82,3246.82,0.11,2889.67
150,2025-08-26,Cliente_13,Mouse,Periféricos,Norte,1,1688.63,1688.63,0.19,1367.79
151,2025-07-19,Cliente_47,Teclado,Eletrônicos,Sudeste,2,4579.7,9159.4,0.02,8976.21
152,2025-10-17,Cliente_17,Notebook,Acessórios,Nordeste,3,2856.15,8568.45,0.09,7797.29
153,2025-12-09,Cliente_80,Teclado,Acessórios,Sudeste,1,3089.48,3089.48,0.18,2533.37
154,2025-01-02,Cliente_16,Teclado,Periféricos,Norte,4,61.31,245.24,0.0,245.24
155,2025-12-20,Cliente_43,Cadeira Gamer,Periféricos,Sudeste,3,1705.28,5115.84,0.28,3683.4
156,2025-07-31,Cliente_57,Teclado,Periféricos,Nordeste,2,2868.33,5736.66,0.06,5392.46
157,2025-03-05,Cliente_15,Mouse,Eletrônicos,Sudeste,4,574.87,2299.48,0.04,2207.5
158,2025-03-19,Cliente_50,Headset,Eletrônicos,Centro-Oeste,4,4078.73,16314.92,0.13,14193.98
159,2025-12-22,Cliente_17,Teclado,Periféricos,Sul,4,3917.26,15669.04,0.16,13161.99
160,2025-01-15,Cliente_27,Monitor,Eletrônicos,Centro-Oeste,4,2078.56,8314.24,0.28,5986.25
161,2025-01-15,Cliente_17,Mouse,Eletrônicos,Centro-Oeste,3,4212.41,12637.23,0.18,10362.53
162,2025-03-11,Cliente_35,Notebook,Eletrônicos,Norte,4,3876.03,15504.12,0.12,13643.63
163,2025-03-01,Cliente_40,Monitor,Eletrônicos,Centro-Oeste,2,3105.07,6210.14,0.07,5775.43
164,2025-12-24,Cliente_73,Notebook,Eletrônicos,Sudeste,4,539.31,2157.24,0.03,2092.52
165,2025-08-25,Cliente_7,Monitor,Acessórios,Norte,1,781.23,781.23,0.27,570.3
166,2025-03-29,Cliente_92,Cadeira Gamer,Periféricos,Norte,2,2638.32,5276.64,0.27,3851.95
167,2025-05-20,Cliente_77,Mouse,Acessórios,Nordeste,3,3099.23,9297.69,0.27,6787.31
168,2025-09-30,Cliente_3,Headset,Periféricos,Nordeste,4,1922.93,7691.72,0.21,6076.46
169,2025-12-27,Cliente_37,Cadeira Gamer,Eletrônicos,Nordeste,4,203.0,812.0,0.07,755.16
170,2025-03-21,Cliente_64,Mouse,Acessórios,Sul,1,3598.18,3598.18,0.29,2554.71
171,2025-03-20,Cliente_20,Notebook,Acessórios,Sudeste,3,3158.21,9474.63,0.06,8906.15
172,2025-02-23,Cliente_71,Mouse,Periféricos,Sudeste,4,4316.46,17265.84,0.17,14330.65
173,2025-05-24,Cliente_75,Mouse,Eletrônicos,Centro-Oeste,3,2576.36,7729.08,0.12,6801.59
174,2025-06-01,Cliente_92,Mouse,Acessórios,Norte,4,4094.64,16378.56,0.11,14576.92
175,2025-08-12,Cliente_47,Monitor,Periféricos,Norte,4,1959.43,7837.72,0.06,7367.46
176,2025-11-17,Cliente_57,Notebook,Eletrônicos,Sudeste,3,235.09,705.27,0.11,627.69
177,2025-01-30,Cliente_90,Notebook,Periféricos,Nordeste,4,4385.07,17540.28,0.25,13155.21
178,2025-05-04,Cliente_20,Notebook,Eletrônicos,Sudeste,1,3920.7,3920.7,0.15,3332.59
179,2025-10-13,Cliente_92,Cadeira Gamer,Periféricos,Sudeste,1,4369.69,4369.69,0.29,3102.48
180,2025-08-20,Cliente_79,Notebook,Acessórios,Centro-Oeste,3,4425.82,13277.46,0.23,10223.64
181,2025-02-25,Cliente_83,Monitor,Acessórios,Sul,3,714.28,2142.84,0.21,1692.84
182,2025-03-08,Cliente_85,Cadeira Gamer,Acessórios,Centro-Oeste,2,4043.63,8087.26,0.18,6631.55
183,2025-11-21,Cliente_6,Cadeira Gamer,Eletrônicos,Sudeste,1,160.66,160.66,0.01,159.05
184,2025-08-16,Cliente_91,Mouse,Eletrônicos,Sul,4,3719.04,14876.16,0.07,13834.83
185,2025-02-19,Cliente_47,Cadeira Gamer,Periféricos,Nordeste,1,4645.17,4645.17,0.12,4087.75
186,2025-01-24,Cliente_37,Headset,Acessórios,Nordeste,2,3007.8,6015.6,0.13,5233.57
187,2025-04-13,Cliente_68,Monitor,Eletrônicos,Norte,4,2769.59,11078.36,0.13,9638.17
188,2025-09-26,Cliente_1,Cadeira Gamer,Periféricos,Sudeste,2,3521.73,7043.46,0.03,6832.16
189,2025-07-25,Cliente_67,Headset,Periféricos,Sul,3,4389.69,13169.07,0.04,12642.31
190,2025-08-30,Cliente_13,Headset,Periféricos,Norte,4,2313.05,9252.2,0.11,8234.46
191,2025-12-30,Cliente_81,Monitor,Periféricos,Sul,3,564.23,1692.69,0.17,1404.93
192,2025-08-08,Cliente_48,Headset,Acessórios,Sudeste,1,4838.81,4838.81,0.28,3483.94
193,2025-06-19,Cliente_83,Teclado,Acessórios,Nordeste,4,1527.97,6111.88,0.29,4339.43
194,2025-11-12,Cliente_98,Cadeira Gamer,Acessórios,Norte,3,851.9,2555.7,0.13,2223.46
195,2025-10-28,Cliente_26,Headset,Periféricos,Nordeste,4,2722.89,10891.56,0.04,10455.9
196,2025-08-01,Cliente_7,Mouse,Eletrônicos,Nordeste,1,1987.02,1987.02,0.17,1649.23
197,2025-04-25,Cliente_48,Headset,Eletrônicos,Centro-Oeste,3,1668.49,5005.47,0.2,4004.38
198,2025-10-11,Cliente_14,Monitor,Periféricos,Sul,1,1353.24,1353.24,0.17,1123.19
199,2025-05-11,Cliente_30,Cadeira Gamer,Periféricos,Sudeste,2,2332.63,4665.26,0.13,4058.78
200,2025-04-10,Cliente_65,Headset,Acessórios,Sul,4,1798.8,7195.2,0.06,6763.49
201,2025-02-10,Cliente_98,Cadeira Gamer,Periféricos,Sudeste,3,1143.6,3430.8,0.28,2470.18
202,2025-04-01,Cliente_81,Monitor,Periféricos,Sul,4,4464.75,17859.0,0.07,16608.87
203,2025-10-09,Cliente_41,Headset,Acessórios,Nordeste,4,4383.53,17534.12,0.13,15254.68
204,2025-05-05,Cliente_98,Headset,Periféricos,Centro-Oeste,1,1407.41,1407.41,0.18,1154.08
205,2025-01-09,Cliente_87,Cadeira Gamer,Acessórios,Nordeste,4,4765.38,19061.52,0.28,13724.29
206,2025-08-31,Cliente_14,Monitor,Eletrônicos,Sul,3,1074.9,3224.7,0.21,2547.51
207,2025-05-06,Cliente_89,Cadeira Gamer,Periféricos,Sudeste,1,4061.06,4061.06,0.25,3045.8
208,2025-04-23,Cliente_48,Headset,Periféricos,Sul,3,3551.63,10654.89,0.18,8737.01
209,2025-11-23,Cliente_84,Notebook,Eletrônicos,Sul,2,2251.54,4503.08,0.18,3692.53
210,2025-06-07,Cliente_96,Mouse,Periféricos,Centro-Oeste,2,3835.05,7670.1,0.04,7363.3
211,2025-12-29,Cliente_66,Mouse,Periféricos,Sul,4,3910.97,15643.88,0.1,14079.49
212,2025-09-25,Cliente_65,Cadeira Gamer,Eletrônicos,Centro-Oeste,3,1789.17,5367.51,0.11,4777.08
213,2025-05-25,Cliente_20,Cadeira Gamer,Eletrônicos,Centro-Oeste,4,3559.9,14239.6,0.25,10679.7
214,2025-01-07,Cliente_82,Teclado,Acessórios,Norte,4,1738.3,6953.2,0.14,5979.75
215,2025-01-05,Cliente_55,Monitor,Eletrônicos,Sudeste,3,4720.89,14162.67,0.12,12463.15
216,2025-10-27,Cliente_41,Cadeira Gamer,Acessórios,Centro-Oeste,1,2330.33,2330.33,0.1,2097.3
217,2025-01-18,Cliente_54,Notebook,Periféricos,Centro-Oeste,3,2284.78,6854.34,0.26,5072.21
218,2025-07-13,Cliente_57,Cadeira Gamer,Eletrônicos,Nordeste,1,1138.19,1138.19,0.16,956.08
219,2025-07-03,Cliente_5,Monitor,Eletrônicos,Sudeste,1,4728.92,4728.92,0.27,3452.11
220,2025-10-24,Cliente_42,Cadeira Gamer,Acessórios,Nordeste,4,124.33,497.32,0.2,397.86
221,2025-10-15,Cliente_89,Mouse,Periféricos,Norte,4,718.83,2875.32,0.15,2444.02
222,2025-07-18,Cliente_94,Cadeira Gamer,Periféricos,Centro-Oeste,1,2993.49,2993.49,0.06,2813.88
223,2025-12-29,Cliente_86,Headset,Periféricos,Nordeste,3,904.43,2713.29,0.21,2143.5
224,2025-10-17,Cliente_17,Mouse,Eletrônicos,Sul,1,265.67,265.67,0.17,220.51
225,2025-02-09,Cliente_87,Cadeira Gamer,Acessórios,Sul,1,2774.69,2774.69,0.24,2108.76
226,2025-04-25,Cliente_45,Monitor,Acessórios,Sudeste,1,724.23,724.23,0.2,579.38
227,2025-12-27,Cliente_46,Cadeira Gamer,Eletrônicos,Nordeste,1,1712.4,1712.4,0.29,1215.8
228,2025-09-30,Cliente_45,Headset,Acessórios,Sudeste,3,396.41,1189.23,0.08,1094.09
229,2025-07-21,Cliente_72,Mouse,Eletrônicos,Sudeste,3,1261.07,3783.21,0.28,2723.91
230,2025-09-03,Cliente_77,Mouse,Periféricos,Sudeste,4,4439.06,17756.24,0.05,16868.43
231,2025-12-29,Cliente_52,Monitor,Periféricos,Centro-Oeste,1,1296.3,1296.3,0.25,972.22
232,2025-07-07,Cliente_25,Cadeira Gamer,Acessórios,Sudeste,3,3112.87,9338.61,0.0,9338.61
233,2025-04-16,Cliente_43,Mouse,Acessórios,Sul,1,1739.91,1739.91,0.27,1270.13
234,2025-04-01,Cliente_15,Cadeira Gamer,Acessórios,Centro-Oeste,3,1009.48,3028.44,0.07,2816.45
235,2025-04-06,Cliente_66,Monitor,Eletrônicos,Nordeste,3,775.61,2326.83,0.2,1861.46
236,2025-02-10,Cliente_33,Monitor,Eletrônicos,Sul,1,4015.11,4015.11,0.03,3894.66
237,2025-01-18,Cliente_48,Notebook,Periféricos,Sudeste,4,4208.02,16832.08,0.25,12624.06
238,2025-07-14,Cliente_9,Mouse,Eletrônicos,Sudeste,1,3143.57,3143.57,0.2,2514.86
239,2025-07-27,Cliente_94,Monitor,Periféricos,Centro-Oeste,4,3789.6,15158.4,0.16,12733.06
240,2025-07-20,Cliente_54,Monitor,Acessórios,Sudeste,4,4525.37,18101.48,0.16,15205.24
241,2025-08-24,Cliente_65,Notebook,Eletrônicos,Nordeste,2,4685.54,9371.08,0.3,6559.76
242,2025-03-31,Cliente_48,Monitor,Acessórios,Nordeste,2,4146.89,8293.78,0.29,5888.58
243,2025-10-13,Cliente_78,Teclado,Eletrônicos,Nordeste,4,680.57,2722.28,0.05,2586.17
244,2025-12-26,Cliente_57,Mouse,Eletrônicos,Sudeste,2,4501.99,9003.98,0.02,8823.9
245,2025-01-12,Cliente_5,Monitor,Periféricos,Nordeste,3,310.27,930.81,0.23,716.72
246,2025-11-02,Cliente_90,Mouse,Acessórios,Nordeste,3,80.78,242.34,0.05,230.22
247,2025-05-18,Cliente_78,Teclado,Eletrônicos,Nordeste,3,1268.9,3806.7,0.06,3578.3
248,2025-08-18,Cliente_69,Monitor,Acessórios,Sul,2,2456.25,4912.5,0.11,4372.12
249,2025-08-05,Cliente_20,Notebook,Periféricos,Centro-Oeste,2,2746.58,5493.16,0.18,4504.39
250,2025-05-29,Cliente_90,Mouse,Acessórios,Sul,1,1587.02,1587.02,0.21,1253.75
251,2025-06-30,Cliente_40,Monitor,Periféricos,Sul,3,120.01,360.03,0.25,270.02
252,2025-05-02,Cliente_62,Mouse,Eletrônicos,Centro-Oeste,4,2775.12,11100.48,0.11,9879.43
253,2025-12-11,Cliente_60,Teclado,Acessórios,Centro-Oeste,1,1946.81,1946.81,0.01,1927.34
